Hoạt chất,Nhóm
Aldrin,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
"BHC, Lindane","Thuốc trừ sâu, thuốc bảo quản lâm sản"
Cadmium compound (Cd),"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Carbofuran,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Chlordane,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Chlordimeform,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
DDT,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Dieldrin,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Endosulfan,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Endrin,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Heptachlor,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Isobenzan,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Isodrin,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Lead (Pb),"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Methamidophos,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Methyl Parathion,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Monocrotophos,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Parathion Ethyl,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Sodium Pentachlorophenate monohydrate,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Pentachlorophenol,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Phosphamidon,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Polychlorocamphene,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Số: 75/2025/TT-BNNMT,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Thời gian ký: 2025-12-26T15:43:48+07:00,"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Trichlorfon (Chlorophos),"Thuốc trừ sâu, thuốc bảo quản lâm sản"
Arsenic (As),Thuốc trừ bệnh
Captan,Thuốc trừ bệnh
Captafol,Thuốc trừ bệnh
Hexachlorobenzene,Thuốc trừ bệnh
Mercury (Hg),Thuốc trừ bệnh
Selenium (Se),Thuốc trừ bệnh
Talium compond,Thuốc trừ chuột
"2,4,5-T",Thuốc trừ cỏ
