Hoạt chất,Thực phẩm,MRL (mg/kg),ADI,Mã Codex,Ghi chú
"2,4-D",Các loại quả mọng và quả nhỏ khác,0.1,"0,01",20,
"2,4-D",Quả có múi thuộc họ cam quýt,1.0,"0,01",20,Po
"2,4-D",Nội tạng ăn được của động vật có vú,5.0,"0,01",20,
"2,4-D",Trứng,0.01,"0,01",20,(*)
"2,4-D",Ngô,0.05,"0,01",20,
"2,4-D","Thịt động vật có vú, trừ động vật có vú ở biển",0.2,"0,01",20,
"2,4-D",Sữa nguyên liệu,0.01,"0,01",20,
"2,4-D",Quả dạng táo,0.01,"0,01",20,(*)
"2,4-D",Khoai tây,0.2,"0,01",20,
"2,4-D",Thịt gia cầm,0.05,"0,01",20,(*)
"2,4-D",Nội tạng ăn được của gia cầm,0.05,"0,01",20,(*)
"2,4-D",Gạo đã xát vỏ,0.1,"0,01",20,
"2,4-D",Lúa mạch đen,2.0,"0,01",20,
"2,4-D",Lúa miến,0.01,"0,01",20,(*)
"2,4-D",Đậu tương (khô),0.01,"0,01",20,(*)
"2,4-D",Các loại quả có hạt,0.05,"0,01",20,(*)
"2,4-D",Mía,0.05,"0,01",20,
"2,4-D",Ngô ngọt (nguyên bắp),0.05,"0,01",20,(*)
"2,4-D",Các loại quả hạch,0.2,"0,01",20,
"2,4-D",Lúa mì,2.0,"0,01",20,
2-Phenylphenol,Quả có,10.0,"0,4",56,Po
2-Phenylphenol,múi thuộc họ cam quýt,,"0,4",56,
2-Phenylphenol,Nước cam ép,0.5,"0,4",56,PoP
2-Phenylphenol,Lê,20.0,"0,4",56,Po
2-Phenylphenol,Táo,0.02,"0,4",56,
2-Phenylphenol,Mỡ gia súc,0.1,"0,4",56,(1)
2-Phenylphenol,Thận gia súc,0.05,"0,4",56,(1)
2-Phenylphenol,Gan gia súc,0.1,"0,4",56,(1)
2-Phenylphenol,Thịt gia súc,0.01,"0,4",56,(*)
2-Phenylphenol,Sữa gia súc,0.005,"0,4",56,
2-Phenylphenol,Quả có múi thuộc họ cam quýt,0.01,"0,4",56,(*)
2-Phenylphenol,Hạt cây bông,0.01,"0,4",56,(*)
2-Phenylphenol,Dưa chuột,0.01,"0,4",56,
2-Phenylphenol,Thịt dê,0.01,"0,4",56,(*)
2-Phenylphenol,Sữa dê,0.005,"0,4",56,
2-Phenylphenol,Nội tạng ăn được của dê,0.1,"0,4",56,
2-Phenylphenol,Hoa bìa khô,0.1,"0,4",56,
2-Phenylphenol,Lá rau diếp,0.05,"0,4",56,
2-Phenylphenol,"Các loại dưa, trừ dưa hấu",0.01,"0,4",56,(*)
2-Phenylphenol,Lê,0.02,"0,4",56,
2-Phenylphenol,Ớt ta khô,0.2,"0,4",56,
2-Phenylphenol,Ớt ngọt (gồm cả ớt ngọt Pimento),0.02,"0,4",56,
2-Phenylphenol,Khoai tây,0.01,"0,4",56,(*)
2-Phenylphenol,Bí mùa hè,0.01,"0,4",56,(*)
2-Phenylphenol,Dâu tây,0.02,"0,4",56,
2-Phenylphenol,Cà chua,0.02,"0,4",56,
2-Phenylphenol,Các loại quả óc chó,0.01,"0,4",56,(*)
2-Phenylphenol,Dưa hấu,0.01,"0,4",56,(*)
2-Phenylphenol,Ớt ta,0.01,"0,4",56,(7)
Acephate,Artiso (cả cây),0.3,"0 - 0,03",95,
Acephate,Đậu đỗ các loại (trừ đậu tằm và đậu tương),5.0,"0 - 0,03",95,
Acephate,Các loại bắp cải,2.0,"0 - 0,03",95,
Acephate,Quả nam việt quất,0.5,"0 - 0,03",95,
Acephate,Nội tạng ăn được của động vật có vú,0.05,"0 - 0,03",95,
Acephate,Trứng,0.01,"0 - 0,03",95,(*)
Acephate,"Thịt động vật có vú, trừ động vật có vú ở biển",0.05,"0 - 0,03",95,
Acephate,Sữa nguyên liệu,0.02,"0 - 0,03",95,
Acephate,Ớt ta khô,50.0,"0 - 0,03",95,
Acephate,Mỡ gia cầm,0.1,"0 - 0,03",95,
Acephate,Thịt gia cầm,0.01,"0 - 0,03",95,(*)
Acephate,Nội tạng ăn được của gia cầm,0.01,"0 - 0,03",95,(*)
Acephate,Gạo đã xát vỏ,1.0,"0 - 0,03",95,
Acephate,Đậu tương (khô),0.3,"0 - 0,03",95,
Acephate,Các loại gia vị,0.2,"0 - 0,03",95,(*)
Acephate,Cà chua,1.0,"0 - 0,03",95,
Acephate,Dầu cọ,0.01,"0 - 0,03",95,(7)
Acephate,Đậu hạt đã bóc vỏ,0.3,"0 - 0,03",95,
Acephate,Các loại quả mọng và quả nhỏ khác,2.0,"0 - 0,03",95,trừ nho và dâu tây
Acephate,Các loại bắp cải,0.7,"0 - 0,03",95,
Acephate,Cần tây,1.5,"0 - 0,03",95,
Acephate,Anh đào,1.5,"0 - 0,03",95,
Acephate,Quả có múi thuộc họ cam quýt,1.0,"0 - 0,03",95,
Acephate,Hạt cây bông,0.7,"0 - 0,03",95,
Acephate,Nội tạng ăn được của động vật có vú,0.05,"0 - 0,03",95,
Acephate,Trứng,0.01,"0 - 0,03",95,(*)
Acephate,Các loại cải bông (bao gồm cải làn và hoa lơ),0.4,"0 - 0,03",95,
Acephate,Các loại rau ăn quả (trừ bầu bí),0.2,"0 - 0,03",95,trừ ngô ngọt và nấm
Acephate,Các loại rau bầu bí,0.2,"0 - 0,03",95,
Acephate,Tỏi,0.02,"0 - 0,03",95,
Acephate,Các loại nho,0.5,"0 - 0,03",95,
Acephate,Mỡ động vật có vú (trừ chất béo sữa),0.02,"0 - 0,03",95,
Acephate,"Thịt động vật có vú, trừ động vật có vú ở biển",0.02,"0 - 0,03",95,
Acephate,Sữa nguyên liệu,0.02,"0 - 0,03",95,
Acephate,Quả xuân đào,0.7,"0 - 0,03",95,
Acephate,Củ hành,0.02,"0 - 0,03",95,
Acephate,Quả đào,0.7,"0 - 0,03",95,
Acephate,Đậu đã tách vỏ (hạt mọng),0.3,"0 - 0,03",95,
Acephate,Ớt ta khô,2.0,"0 - 0,03",95,
Acephate,Các loại mận (bao gồm cả mận khô),0.2,"0 - 0,03",95,trừ mận khô
Acephate,Quả dạng táo,0.8,"0 - 0,03",95,
Acephate,Thịt gia cầm,0.01,"0 - 0,03",95,(*)
Acephate,Nội tạng ăn được của gia cầm,0.05,"0 - 0,03",95,(*)
Acephate,Mận khô,0.6,"0 - 0,03",95,
Acephate,Hành hoa,5.0,"0 - 0,03",95,
Acephate,Dâu tây,0.5,"0 - 0,03",95,
Acephate,Các loại quả hạch,0.06,"0 - 0,03",95,
Acephate,Đậu (khô),0.1,"0 - 0,03",95,
Acephate,Cải Brussels,0.1,"0 - 0,03",95,
Acephate,Quả có múi thuộc họ cam quýt,0.2,"0 - 0,03",95,
Acephate,Hạt cà phê,0.1,"0 - 0,03",95,
Acephate,Hạt cây bông,0.1,"0 - 0,03",95,
Acephate,Dầu hạt cây bông,0.01,"0 - 0,03",95,(*)
Acephate,Các loại nho,0.2,"0 - 0,03",95,
Acephate,Ngô,0.05,"0 - 0,03",95,
Acephate,"Thịt động vật có vú, trừ động vật có vú ở biển",0.01,"0 - 0,03",95,(*)
Acephate,Sữa nguyên liệu,0.01,"0 - 0,03",95,
Acephate,Củ hành,0.1,"0 - 0,03",95,
Acephate,Hạt lạc,0.02,"0 - 0,03",95,
Acephate,Dầu lạc ăn được,0.01,"0 - 0,03",95,(*)
Acephate,Quả hồ đào Pecan,1.0,"0 - 0,03",95,
Acephate,Lúa miến,0.1,"0 - 0,03",95,
Acephate,Đậu tương (khô),0.02,"0 - 0,03",95,(*)
Acephate,Các loại gia vị từ quả và quả mọng,0.07,"0 - 0,03",95,
Acephate,Các loại gia vị từ củ và thân rễ,0.02,"0 - 0,03",95,
Acephate,Củ cải đường,0.05,"0 - 0,03",95,(*)
Acephate,Mía,0.1,"0 - 0,03",95,
Acephate,Hạt hướng dương,0.05,"0 - 0,03",95,(*)
Acephate,Khoai lang,0.1,"0 - 0,03",95,
Acephate,Lúa mì,0.02,"0 - 0,03",95,
Aldrin and Dieldrin,Rau củ,0.05,"0,0001",1,E
Aldrin and Dieldrin,Hạt ngũ cốc,0.02,"0,0001",1,E
Aldrin and Dieldrin,Quả có múi thuộc họ cam quýt,0.05,"0,0001",1,E
Aldrin and Dieldrin,Trứng,0.1,"0,0001",1,E
Aldrin and Dieldrin,Các loại rau bầu bí,0.1,"0,0001",1,E
Aldrin and Dieldrin,Đậu Hà Lan đã tách vỏ (hạt mọng),1.0,"0,0001",1,E
Aldrin and Dieldrin,Rau ăn lá,0.05,"0,0001",1,E
Aldrin and Dieldrin,Rau họ đậu,0.05,"0,0001",1,E
Aldrin and Dieldrin,"Thịt động vật có vú, trừ động vật có vú ở biển",0.2,"0,0001",1,"(fat), E"
Aldrin and Dieldrin,Sữa,0.006,"0,0001",1,"F, E"
Aldrin and Dieldrin,Quả dạng táo,0.05,"0,0001",1,E
Aldrin and Dieldrin,Thịt gia cầm,0.2,"0,0001",1,E
Aldrin and Dieldrin,Các loại đậu lăng,0.05,"0,0001",1,E
Aldrin and Dieldrin,Các loại rau từ rễ và củ,0.1,"0,0001",1,E
Aldrin and Dieldrin,Cần tây,20.0,"0,0001",1,
Aldrin and Dieldrin,Dưa chuột,0.4,"0,0001",1,
Aldrin and Dieldrin,Nho khô (gồm cả quả lý chua khô và nho khô không hạt),20.0,"0,0001",1,
Aldrin and Dieldrin,Trứng,0.03,"0,0001",1,(*)
Aldrin and Dieldrin,Các loại rau ăn quả (trừ bầu bí),1.5,"0,0001",1,trừ ngô ngọt và nấm
Aldrin and Dieldrin,Các loại rau bầu bí,3.0,"0,0001",1,trừ dưa chuột
Aldrin and Dieldrin,Tỏi,1.5,"0,0001",1,
Aldrin and Dieldrin,Các loại nho,6.0,"0,0001",1,
Aldrin and Dieldrin,Hoa bia khô,30.0,"0,0001",1,
Aldrin and Dieldrin,Rau ăn lá,50.0,"0,0001",1,
Aldrin and Dieldrin,Củ hành,1.5,"0,0001",1,
Aldrin and Dieldrin,Ớt ta khô,15.0,"0,0001",1,
Aldrin and Dieldrin,Khoai tây,0.05,"0,0001",1,
Aldrin and Dieldrin,Mỡ gia cầm,0.03,"0,0001",1,(*)
Aldrin and Dieldrin,Thịt gia cầm,0.03,"0,0001",1,(*)
Aldrin and Dieldrin,Nội tạng ăn được của gia cầm,0.03,"0,0001",1,(*)
Aldrin and Dieldrin,Hẹ tây,1.5,"0,0001",1,
Aldrin and Dieldrin,Hành hoa,20.0,"0,0001",1,
Aminocyclopyrachlor,Nội tạng ăn được của động vật có vú,0.3,0 - 3,272,
Aminocyclopyrachlor,Mỡ động vật có vú (trừ chất béo sữa),0.03,0 - 3,272,
Aminocyclopyrachlor,"Thịt động vật có vú, trừ động vật có vú ở biển",0.01,0 - 3,272,
Aminocyclopyrachlor,Sữa nguyên liệu,0.02,0 - 3,272,
